Date,Max_temp_f,Avg_temp_f,Min_temp_f,Max_dew,Avg_dew,Min_dew,Max_humidity%,Avg_humidity%,Min_humidity%,Max_windspeed_mph,Avg_windspeed_mph,Min_windspeed_mph,Max_pressure,Avg_pressure,Min_pressure,Precipitation
1/1/18,3,-2.7,-7,-9,-12.5,-16,76,63.4,55,13,10.5,7,30,30,30,0
1/2/18,7,-0.8,-9,-1,-8.8,-15,79,69.4,57,17,11.6,7,30,29.8,29.4,0
1/3/18,18,14.2,8,11,5.3,-2,81,68,59,17,12.6,9,29.5,29.4,29.4,0
1/4/18,13,6.2,2,-2,-4.1,-6,73,63.1,49,15,11.5,5,29.6,29.6,29.5,0
1/5/18,11,5.4,0,-4,-5.6,-7,76,61.5,47,20,10.5,6,29.8,29.7,29.6,0
1/6/18,16,7.6,0,-1,-4.8,-8,72,58.2,39,9,6.5,0,29.9,29.9,29.7,0
1/7/18,33,25.3,9,31,17.4,-3,92,72.4,56,18,14.7,9,29.7,29.4,29.2,0
1/8/18,36,33.9,31,33,30.1,28,96,86.3,76,17,12.5,7,29.5,29.4,29.2,0.03
1/9/18,34,30.1,28,29,28.3,27,100,92.7,82,10,6.6,3,29.6,29.6,29.4,0
1/10/18,56,44.9,32,52,43.6,30,100,95.3,84,24,15.5,7,29.5,29.2,29.1,0
1/11/18,60,52.1,24,58,49.8,18,100,91.9,77,25,16.9,9,29.2,29.1,29,0.01
1/12/18,25,21.6,16,18,13.7,2,81,71.9,54,29,20.2,12,29.7,29.5,29.2,0.14
1/13/18,17,12.3,8,2,-2.2,-7,67,53.3,34,24,10.6,0,30,29.9,29.7,0
1/14/18,22,15.7,7,15,6.5,-2,88,68.8,40,16,9.7,0,30,29.8,29.6,0
1/15/18,24,16.9,9,19,12.3,4,89,82.5,77,18,12.5,7,29.7,29.6,29.5,0.02
1/16/18,25,14.4,6,18,8.3,2,87,77.2,60,15,10.9,7,29.9,29.8,29.7,0.01
1/17/18,20,14.8,6,10,7.3,2,84,72.8,62,22,12.3,5,29.9,29.8,29.5,0
1/18/18,33,25.6,17,22,15.5,10,74,65.9,54,20,15.3,10,29.5,29.4,29.3,0
1/19/18,40,34.8,28,29,23.8,19,73,64.5,54,22,16,10,29.3,29.2,29.1,0
1/20/18,47,40.4,33,37,32.2,27,86,73.3,59,15,9.2,5,29.3,29.3,29.1,0
1/21/18,48,42.8,39,48,41.7,36,100,96.3,86,10,5,0,29.3,29.3,29.2,0
1/22/18,55,48.6,37,51,46.1,32,100,91.5,73,29,11.8,3,29.1,28.9,28.8,0.4
1/23/18,37,32.3,29,34,27.6,22,100,83.3,72,16,11.2,5,29.5,29.1,28.8,0.29
1/24/18,30,29.1,28,24,22.4,20,81,76,69,10,6.4,0,29.7,29.6,29.5,0.01
1/25/18,44,35.5,26,34,28.2,21,84,75,60,17,9,6,29.7,29.6,29.5,0
1/26/18,52,46.1,38,34,31.8,30,76,58.8,43,24,17.8,9,29.5,29.4,29.3,0
1/27/18,51,45.5,37,39,30,21,69,56,32,21,12.3,6,29.6,29.4,29.3,0
1/28/18,41,34.9,31,32,27.5,24,85,74.7,67,16,9.2,0,29.7,29.6,29.6,0
1/29/18,31,25.1,18,24,15.8,9,81,68,58,20,14,7,29.8,29.7,29.7,0
1/30/18,31,24.7,16,18,12.7,10,77,61.4,47,20,9.7,0,29.8,29.6,29.3,0
1/31/18,43,37.6,32,30,24.2,18,70,58.7,49,24,14.3,7,29.3,29.1,29,0
2/1/18,36,22.5,9,25,6.8,-7,72,52,35,24,15.3,8,29.7,29.4,29.1,0
2/2/18,22,13.9,5,4,-3.6,-7,61,46.5,35,14,10.8,9,29.9,29.8,29.6,0
2/3/18,41,31.2,22,30,18.1,7,96,61.7,33,21,13.6,8,29.6,29.3,29.1,0
2/4/18,35,20.7,7,30,14.9,-4,89,78.7,58,22,15.8,7,29.6,29.3,29.1,0.01
2/5/18,12,8.4,-1,8,1.9,-8,88,75.3,56,10,7.5,5,29.6,29.6,29.5,0.01
2/6/18,21,16.3,6,16,8.8,3,88,73.2,55,9,3.9,0,29.8,29.7,29.6,0.15
2/7/18,20,17.2,13,17,11.2,4,92,78,64,15,9.4,3,29.8,29.6,29.6,0.05
2/8/18,22,17,9,19,11.1,4,92,78,62,15,7.3,5,29.8,29.7,29.6,0
2/9/18,29,25.9,22,26,22.7,17,96,87.8,75,17,10.3,5,29.6,29.5,29.4,0.34
2/10/18,25,21.2,17,22,16,10,91,80.5,71,15,10.8,3,29.6,29.5,29.4,0.14
2/11/18,24,21.1,13,22,16.4,4,96,82.4,64,15,10.2,3,29.7,29.4,29.3,0.19
2/12/18,28,18.1,8,15,7.5,3,80,64.8,39,9,6.3,0,30.1,30,29.7,0
2/13/18,35,26.8,18,24,16.1,9,84,65.9,34,13,7.2,5,30.1,29.8,29.6,0
2/14/18,45,38.1,28,41,35.4,25,100,90.5,68,15,9.1,6,29.6,29.3,29.2,0
2/15/18,47,42.1,39,45,40.7,33,100,95.2,71,18,6.5,0,29.2,29.1,29,0
2/16/18,36,32.1,20,34,21.2,7,93,65.5,38,21,12.3,5,29.6,29.5,29.2,0
2/17/18,35,28.8,17,32,23.4,9,96,80.5,62,17,9.6,3,29.6,29.4,29.3,0
2/18/18,41,31.3,20,31,25.6,19,96,80,67,18,11.1,0,29.6,29.5,29.2,0.09
2/19/18,60,49.4,39,58,47.7,33,100,94.2,77,20,10.8,0,29.2,29.2,29.1,0
2/20/18,66,53.9,34,61,52.5,33,100,95.1,84,23,12.9,3,29.5,29.3,29.1,1.94
